연령별,기준년도,사고유형,구분,구분값
20세이하,2018,차대사람,사고건수[건],1299
20세이하,2018,차대사람,사망자수[명],20
20세이하,2018,차대사람,부상자수[명],1469
20세이하,2018,차대차,사고건수[건],4840
20세이하,2018,차대차,사망자수[명],45
20세이하,2018,차대차,부상자수[명],7287
20세이하,2018,차량단독,사고건수[건],515
20세이하,2018,차량단독,사망자수[명],32
20세이하,2018,차량단독,부상자수[명],664
20세이하,2019,차대사람,사고건수[건],1406
20세이하,2019,차대사람,사망자수[명],24
20세이하,2019,차대사람,부상자수[명],1576
20세이하,2019,차대차,사고건수[건],5257
20세이하,2019,차대차,사망자수[명],44
20세이하,2019,차대차,부상자수[명],8106
20세이하,2019,차량단독,사고건수[건],567
20세이하,2019,차량단독,사망자수[명],27
20세이하,2019,차량단독,부상자수[명],805
20세이하,2019,철길건널목,사고건수[건],1
20세이하,2019,철길건널목,사망자수[명],0
20세이하,2019,철길건널목,부상자수[명],1
20세이하,2020,차대사람,사고건수[건],1239
20세이하,2020,차대사람,사망자수[명],18
20세이하,2020,차대사람,부상자수[명],1395
20세이하,2020,차대차,사고건수[건],5306
20세이하,2020,차대차,사망자수[명],46
20세이하,2020,차대차,부상자수[명],8208
20세이하,2020,차량단독,사고건수[건],554
20세이하,2020,차량단독,사망자수[명],39
20세이하,2020,차량단독,부상자수[명],743
20세이하,2021,차대사람,사고건수[건],1469
20세이하,2021,차대사람,사망자수[명],13
20세이하,2021,차대사람,부상자수[명],1609
20세이하,2021,차대차,사고건수[건],5059
20세이하,2021,차대차,사망자수[명],44
20세이하,2021,차대차,부상자수[명],7633
20세이하,2021,차량단독,사고건수[건],432
20세이하,2021,차량단독,사망자수[명],28
20세이하,2021,차량단독,부상자수[명],584
20세이하,2022,차대사람,사고건수[건],1754
20세이하,2022,차대사람,사망자수[명],12
20세이하,2022,차대사람,부상자수[명],1898
20세이하,2022,차대차,사고건수[건],4349
20세이하,2022,차대차,사망자수[명],35
20세이하,2022,차대차,부상자수[명],6481
20세이하,2022,차량단독,사고건수[건],405
20세이하,2022,차량단독,사망자수[명],25
20세이하,2022,차량단독,부상자수[명],484
