연령별,전체
2017년,계
16  - 17 ,"10,908"
18  - 19 ,"305,482"
20  - 21 ,"753,770"
22  - 23 ,"993,178"
24  - 25 ,"118,3018"
26  - 27 ,"1,215,763"
28  - 29 ,"1,207,868"
30  - 31 ,"1,243,470"
32  - 33 ,"1,352,768"
34  - 35 ,"1,663,710"
36  - 37 ,"1,809,113"
38  - 39 ,"1,747,463"
40  - 41 ,"1,843,210"
42  - 43 ,"2,033,900"
44  - 45 ,"2,208,055"
46  - 47 ,"2,254,930"
48  - 49 ,"2,197,937"
50  - 51 ,"1,966,055"
52  - 53 ,"1,941,699"
54  - 55 ,"1,898,424"
56  - 57 ,"2,006,748"
58  - 59 ,"1,729,476"
60  - 61 ,"1,499,235"
62  - 63 ,"1,285,728"
64  - 65 ,"995,736"
66  - 67 ,"706,483"
68  - 69 ,"661,477"
70  - 71 ,"532,167"
72  - 73 ,"366,446"
74  - 75 ,"341,915"
76  - 77 ,"239,352"
78  - 79 ,"173,734"
80  - 81 ,"112,785"
82  - 83 ,"69,410"
84  - 85 ,"36,637"
86  - 87 ,"17,898"
88  - 89 ,"10,361"
90  - 91 ,"4,545"
92  - 93 ,"2,030"
94  - 95 ,"1,349"
96  - 97 ,498
98 이상,475
2018년,계
16  - 17 ,"7,476"
18  - 19 ,"283,636"
20  - 21 ,"692,536"
22  - 23 ,"958,850"
24  - 25 ,"1,159,729"
26  - 27 ,"1,284,366"
28  - 29 ,"1,226,726"
30  - 31 ,"1,243,003"
32  - 33 ,"1,322,958"
34  - 35 ,"1,495,264"
36  - 37 ,"1,792,885"
38  - 39 ,"1,853,598"
40  - 41 ,"1,764,734"
42  - 43 ,"1,916,032"
44  - 45 ,"2,194,205"
46  - 47 ,"2,274,931"
48  - 49 ,"2,228,207"
50  - 51 ,"2,124,781"
52  - 53 ,"1,953,564"
54  - 55 ,"1,875,802"
56  - 57 ,"2,009,183"
58  - 59 ,"1,912,925"
60  - 61 ,"1,619,685"
62  - 63 ,"1,403,687"
64  - 65 ,"1,060,827"
