연령별,기준년도,법규위반내용,사고건수
20세이하,2018,과속,35
20세이하,2018,앞지르기방법위반,13
20세이하,2018,앞지르기금지위반,13
20세이하,2018,중앙선침범,328
20세이하,2018,신호위반,1107
20세이하,2018,안전거리미확보,427
20세이하,2018,일시정지위반,23
20세이하,2018,부당한회전,84
20세이하,2018,안전운전의무불이행,3807
20세이하,2018,교차로운행방법위반,328
20세이하,2018,보행자보호의무위반,152
20세이하,2018,차로위반(진로변경),76
20세이하,2018,직진우회전진행방해,155
20세이하,2018,기타,106
20세이하,2019,과속,69
20세이하,2019,앞지르기방법위반,8
20세이하,2019,앞지르기금지위반,22
20세이하,2019,중앙선침범,370
20세이하,2019,신호위반,1309
20세이하,2019,안전거리미확보,439
20세이하,2019,일시정지위반,20
20세이하,2019,부당한회전,77
20세이하,2019,우선권양보불이행,5
20세이하,2019,진로양보불이행,1
20세이하,2019,안전운전의무불이행,3999
20세이하,2019,교차로운행방법위반,346
20세이하,2019,보행자보호의무위반,167
20세이하,2019,차로위반(진로변경),86
20세이하,2019,직진우회전진행방해,195
20세이하,2019,철길건널목통과방법,1
20세이하,2019,기타,117
20세이하,2020,과속,82
20세이하,2020,앞지르기방법위반,8
20세이하,2020,앞지르기금지위반,25
20세이하,2020,중앙선침범,293
20세이하,2020,신호위반,1214
20세이하,2020,안전거리미확보,450
20세이하,2020,일시정지위반,21
20세이하,2020,부당한회전,74
20세이하,2020,진로양보불이행,3
20세이하,2020,안전운전의무불이행,4027
20세이하,2020,교차로운행방법위반,329
20세이하,2020,보행자보호의무위반,127
20세이하,2020,차로위반(진로변경),82
20세이하,2020,직진우회전진행방해,190
20세이하,2020,긴급차피양의무위반,1
20세이하,2020,기타,173
20세이하,2021,앞지르기방법위반,4
20세이하,2021,앞지르기금지위반,12
20세이하,2021,중앙선침범,313
20세이하,2021,신호위반,1264
20세이하,2021,안전거리미확보,400
20세이하,2021,일시정지위반,22
20세이하,2021,부당한회전,83
20세이하,2021,우선권양보불이행,1
20세이하,2021,진로양보불이행,2
20세이하,2021,안전운전의무불이행,3848
20세이하,2021,교차로운행방법위반,281
20세이하,2021,보행자보호의무위반,147
20세이하,2021,차로위반(진로변경),67
20세이하,2021,직진우회전진행방해,182
20세이하,2021,기타,334
20세이하,2022,앞지르기방법위반,3
20세이하,2022,앞지르기금지위반,11
20세이하,2022,중앙선침범,281
20세이하,2022,신호위반,1036
20세이하,2022,안전거리미확보,328
20세이하,2022,일시정지위반,15
20세이하,2022,부당한회전,74
20세이하,2022,우선권양보불이행,1
20세이하,2022,안전운전의무불이행,3720
20세이하,2022,교차로운행방법위반,232
20세이하,2022,보행자보호의무위반,211
20세이하,2022,차로위반(진로변경),38
20세이하,2022,직진우회전진행방해,168
20세이하,2022,기타,390
21~30세,2018,과로,1
21~30세,2018,과속,282
21~30세,2018,앞지르기방법위반,21
21~30세,2018,앞지르기금지위반,46
21~30세,2018,중앙선침범,1401
21~30세,2018,신호위반,3666
21~30세,2018,안전거리미확보,2633
21~30세,2018,일시정지위반,71
21~30세,2018,부당한회전,160
21~30세,2018,우선권양보불이행,5
21~30세,2018,진로양보불이행,4
21~30세,2018,안전운전의무불이행,16330
21~30세,2018,교차로운행방법위반,1706
21~30세,2018,보행자보호의무위반,787
21~30세,2018,차로위반(진로변경),460
21~30세,2018,직진우회전진행방해,852
21~30세,2018,철길건널목통과방법,1
21~30세,2018,기타,300
21~30세,2018,정비불량,1
21~30세,2019,과속,326
21~30세,2019,앞지르기방법위반,13
21~30세,2019,앞지르기금지위반,58
21~30세,2019,중앙선침범,1278
21~30세,2019,신호위반,4214
21~30세,2019,안전거리미확보,2920
21~30세,2019,일시정지위반,79
21~30세,2019,부당한회전,169
21~30세,2019,우선권양보불이행,3
21~30세,2019,진로양보불이행,3
21~30세,2019,안전운전의무불이행,17070
21~30세,2019,교차로운행방법위반,1803
21~30세,2019,보행자보호의무위반,810
21~30세,2019,차로위반(진로변경),516
21~30세,2019,직진우회전진행방해,973
21~30세,2019,긴급차피양의무위반,1
21~30세,2019,기타,393
21~30세,2019,정비불량,2
21~30세,2020,과로,1
21~30세,2020,과속,401
21~30세,2020,앞지르기방법위반,20
21~30세,2020,앞지르기금지위반,54
21~30세,2020,중앙선침범,1186
21~30세,2020,신호위반,4075
21~30세,2020,안전거리미확보,2898
21~30세,2020,일시정지위반,92
21~30세,2020,부당한회전,141
21~30세,2020,우선권양보불이행,4
21~30세,2020,진로양보불이행,5
21~30세,2020,안전운전의무불이행,16483
